nutri_type,f_name,Nutrient Value (g)
Carbohydrates,Turkey Breast,0
Fat,Turkey Breast,0.85
Fiber,Turkey Breast,0
Sugar,Turkey Breast,0
Vitamin A,Turkey Breast,0
Vitamin C,Turkey Breast,0
Calcium,Turkey Breast,0.0119
Iron,Turkey Breast,0.0009
Protein,Pork Chop,22.1
Carbohydrates,Pork Chop,0
Fat,Pork Chop,11.9
Fiber,Pork Chop,0
Sugar,Pork Chop,0
Vitamin A,Pork Chop,0
Vitamin C,Pork Chop,0.0003
Calcium,Pork Chop,0.0136
Iron,Pork Chop,0.0006
Protein,Shrimp,20.4
Carbohydrates,Shrimp,0.17
Fat,Shrimp,0.255
Fiber,Shrimp,0
Sugar,Shrimp,0
Vitamin A,Shrimp,0
Vitamin C,Shrimp,0.0017
Calcium,Shrimp,0.0595
Iron,Shrimp,0.0008
Protein,Tofu,10.206
Carbohydrates,Tofu,2.394
Fat,Tofu,6.048
Fiber,Tofu,0.378
Sugar,Tofu,0.378
Vitamin A,Tofu,0
Vitamin C,Tofu,0
Calcium,Tofu,0.441
Iron,Tofu,0.0068
Protein,Black Beans,15.308
Carbohydrates,Black Beans,40.764
Fat,Black Beans,1.548
Fiber,Black Beans,14.964
Sugar,Black Beans,0.516
Vitamin A,Black Beans,0
Vitamin C,Black Beans,0
Calcium,Black Beans,0.0602
Iron,Black Beans,0.0036
Protein,Milk (2%),8.296
Carbohydrates,Milk (2%),11.712
Fat,Milk (2%),4.88
Fiber,Milk (2%),0
Sugar,Milk (2%),12.2
Vitamin A,Milk (2%),0.0001
Vitamin C,Milk (2%),0
Calcium,Milk (2%),0.2928
Iron,Milk (2%),0
Protein,Cheddar Cheese,7
Carbohydrates,Cheddar Cheese,0.364
Fat,Cheddar Cheese,9.24
Fiber,Cheddar Cheese,0
Sugar,Cheddar Cheese,0.14
Vitamin A,Cheddar Cheese,0.0001
Vitamin C,Cheddar Cheese,0
Calcium,Cheddar Cheese,0.2016
Iron,Cheddar Cheese,0.0001
Protein,Yogurt (Plain),13.475
Carbohydrates,Yogurt (Plain),17.15
Fat,Yogurt (Plain),8.82
Fiber,Yogurt (Plain),0
Sugar,Yogurt (Plain),17.15
Vitamin A,Yogurt (Plain),0
Vitamin C,Yogurt (Plain),0.0025
Calcium,Yogurt (Plain),0.3675
Iron,Yogurt (Plain),0.0002
Protein,Greek Yogurt,20
Carbohydrates,Greek Yogurt,7
Fat,Greek Yogurt,0.8
Fiber,Greek Yogurt,0
Sugar,Greek Yogurt,7
Vitamin A,Greek Yogurt,0
Vitamin C,Greek Yogurt,0
Calcium,Greek Yogurt,0.3
Iron,Greek Yogurt,0.0002
Protein,Mozzarella Cheese,6.16
Carbohydrates,Mozzarella Cheese,0.616
Fat,Mozzarella Cheese,6.16
Fiber,Mozzarella Cheese,0
Sugar,Mozzarella Cheese,0.28
Vitamin A,Mozzarella Cheese,0.0001
Vitamin C,Mozzarella Cheese,0
Calcium,Mozzarella Cheese,0.168
Iron,Mozzarella Cheese,0.0001
Protein,Cottage Cheese,25.086
Carbohydrates,Cottage Cheese,7.684
Fat,Cottage Cheese,9.718
Fiber,Cottage Cheese,0
Sugar,Cottage Cheese,7.684
Vitamin A,Cottage Cheese,0
Vitamin C,Cottage Cheese,0
Calcium,Cottage Cheese,0.1876
Iron,Cottage Cheese,0.0002
Protein,Butter,0.07
Carbohydrates,Butter,0.014
Fat,Butter,11.34
Fiber,Butter,0
Sugar,Butter,0.014
Vitamin A,Butter,0.0001
Vitamin C,Butter,0
Calcium,Butter,0.0034
Iron,Butter,0
Protein,Ice Cream,2.31
Carbohydrates,Ice Cream,15.576
Fat,Ice Cream,7.26
Fiber,Ice Cream,0
Sugar,Ice Cream,13.2
Vitamin A,Ice Cream,0
Vitamin C,Ice Cream,0.0007
Calcium,Ice Cream,0.0858
Iron,Ice Cream,0.0001
Protein,Almonds,5.936
Carbohydrates,Almonds,6.048
Fat,Almonds,13.972
Fiber,Almonds,3.5
Sugar,Almonds,1.232
Vitamin A,Almonds,0
Vitamin C,Almonds,0
Calcium,Almonds,0.0739
Iron,Almonds,0.001
Protein,Peanuts,7.224
Carbohydrates,Peanuts,4.508
Fat,Peanuts,13.776
Fiber,Peanuts,2.38
Sugar,Peanuts,1.316
Vitamin A,Peanuts,0
Vitamin C,Peanuts,0
Calcium,Peanuts,0.0258
Iron,Peanuts,0.0007
Protein,Walnuts,4.256
Carbohydrates,Walnuts,3.836
Fat,Walnuts,18.256
Fiber,Walnuts,1.876
Sugar,Walnuts,0.728
Vitamin A,Walnuts,0
Vitamin C,Walnuts,0.0004
Calcium,Walnuts,0.0274
Iron,Walnuts,0.0008
Protein,Cashews,5.096
Carbohydrates,Cashews,8.456
Fat,Cashews,12.292
Fiber,Cashews,0.924
Sugar,Cashews,1.456
Vitamin A,Cashews,0
Vitamin C,Cashews,0.0001
Calcium,Cashews,0.0104
Iron,Cashews,0.0019
Protein,Peanut Butter,8
Carbohydrates,Peanut Butter,6.4
Fat,Peanut Butter,16
Fiber,Peanut Butter,1.92
Sugar,Peanut Butter,2.56
Vitamin A,Peanut Butter,0
Vitamin C,Peanut Butter,0
Calcium,Peanut Butter,0.0138
Iron,Peanut Butter,0.0006
Protein,Sunflower Seeds,5.824
Carbohydrates,Sunflower Seeds,5.6
Fat,Sunflower Seeds,14.42
Fiber,Sunflower Seeds,2.408
Sugar,Sunflower Seeds,0.728
Vitamin A,Sunflower Seeds,0
Vitamin C,Sunflower Seeds,0.0004
Calcium,Sunflower Seeds,0.0218
Iron,Sunflower Seeds,0.0014
Protein,Chia Seeds,4.62
Carbohydrates,Chia Seeds,11.788
Fat,Chia Seeds,8.596
Fiber,Chia Seeds,9.632
Sugar,Chia Seeds,0
Vitamin A,Chia Seeds,0
Vitamin C,Chia Seeds,0.0004
Calcium,Chia Seeds,0.1767
Iron,Chia Seeds,0.0022
Protein,Olive Oil,0
Carbohydrates,Olive Oil,0
Fat,Olive Oil,14
Fiber,Olive Oil,0
Sugar,Olive Oil,0
Vitamin A,Olive Oil,0
Vitamin C,Olive Oil,0
Calcium,Olive Oil,0
Iron,Olive Oil,0
Protein,Vegetable Oil,0
Carbohydrates,Vegetable Oil,0
Fat,Vegetable Oil,14
Fiber,Vegetable Oil,0
Sugar,Vegetable Oil,0
Vitamin A,Vegetable Oil,0
Vitamin C,Vegetable Oil,0
Calcium,Vegetable Oil,0
Iron,Vegetable Oil,0
Protein,Avocado,2
Carbohydrates,Avocado,9
Fat,Avocado,15
Fiber,Avocado,7
Sugar,Avocado,0.7
Vitamin A,Avocado,0
Vitamin C,Avocado,0.01
Calcium,Avocado,0.012
Iron,Avocado,0.0006
Protein,Mayonnaise,0.07
Carbohydrates,Mayonnaise,0.14
Fat,Mayonnaise,10.5
Fiber,Mayonnaise,0
Sugar,Mayonnaise,0.07
Vitamin A,Mayonnaise,0
Vitamin C,Mayonnaise,0
Calcium,Mayonnaise,0.0014
Iron,Mayonnaise,0
Protein,Potato,3.46
Carbohydrates,Potato,29.41
Fat,Potato,0.173
Fiber,Potato,3.806
Sugar,Potato,1.384
Vitamin A,Potato,0
Vitamin C,Potato,0.0341
Calcium,Potato,0.0173
Iron,Potato,0.0014
Protein,Sweet Potato,1.824
Carbohydrates,Sweet Potato,22.914
Fat,Sweet Potato,0.114
Fiber,Sweet Potato,3.42
Sugar,Sweet Potato,4.788
Vitamin A,Sweet Potato,0.0008
Vitamin C,Sweet Potato,0.0027
Calcium,Sweet Potato,0.0342
Iron,Sweet Potato,0.0007
Protein,Corn,4.93
Carbohydrates,Corn,27.55
Fat,Corn,2.175
Fiber,Corn,3.915
Sugar,Corn,9.135
Vitamin A,Corn,0
Vitamin C,Corn,0.0099
Calcium,Corn,0.0035
Iron,Corn,0.0007
Protein,Peas,7.83
Carbohydrates,Peas,21.025
Fat,Peas,0.58
Fiber,Peas,8.265
Sugar,Peas,8.265
Vitamin A,Peas,0.0001
Vitamin C,Peas,0.058
Calcium,Peas,0.0362
Iron,Peas,0.0022
Protein,Apple Juice,0.248
Carbohydrates,Apple Juice,27.28
Fat,Apple Juice,0.248
Fiber,Apple Juice,0.248
Sugar,Apple Juice,24.8
Vitamin A,Apple Juice,0
Vitamin C,Apple Juice,0.0007
Calcium,Apple Juice,0.0198
Iron,Apple Juice,0.0002
Protein,Orange Juice,1.736
Carbohydrates,Orange Juice,25.792
Fat,Orange Juice,0.496
Fiber,Orange Juice,0.496
Sugar,Orange Juice,20.832
Vitamin A,Orange Juice,0.0001
Vitamin C,Orange Juice,0.124
Calcium,Orange Juice,0.0273
Iron,Orange Juice,0.0002
Protein,Coffee (Black),0.24
Carbohydrates,Coffee (Black),0
Fat,Coffee (Black),0
Fiber,Coffee (Black),0
Sugar,Coffee (Black),0
Vitamin A,Coffee (Black),0
Vitamin C,Coffee (Black),0
Calcium,Coffee (Black),0.012
Iron,Coffee (Black),0
Protein,Tea (Unsweetened),0
Carbohydrates,Tea (Unsweetened),0
Fat,Tea (Unsweetened),0
Fiber,Tea (Unsweetened),0
Sugar,Tea (Unsweetened),0
Vitamin A,Tea (Unsweetened),0
Vitamin C,Tea (Unsweetened),0
Calcium,Tea (Unsweetened),0
Iron,Tea (Unsweetened),0
Protein,Soda,0
Carbohydrates,Soda,37.63
Fat,Soda,0
Fiber,Soda,0
Sugar,Soda,37.63
Vitamin A,Soda,0
Vitamin C,Soda,0
Calcium,Soda,0.0355
Iron,Soda,0
Protein,Beer,1.775
Carbohydrates,Beer,12.78
Fat,Beer,0
Fiber,Beer,0
Sugar,Beer,0
Vitamin A,Beer,0
Vitamin C,Beer,0
Calcium,Beer,0.0284
Iron,Beer,0.0004
Protein,Red Wine,0.148
Carbohydrates,Red Wine,3.848
Fat,Red Wine,0
Fiber,Red Wine,0
Sugar,Red Wine,1.48
Vitamin A,Red Wine,0
Vitamin C,Red Wine,0
Calcium,Red Wine,0.0118
Iron,Red Wine,0.0003
Protein,Chocolate Bar,3.01
Carbohydrates,Chocolate Bar,25.8
Fat,Chocolate Bar,12.9
Fiber,Chocolate Bar,1.29
Sugar,Chocolate Bar,19.35
Vitamin A,Chocolate Bar,0
Vitamin C,Chocolate Bar,0
Calcium,Chocolate Bar,0.0215
Iron,Chocolate Bar,0.0022
Protein,Cookies,1.4
Carbohydrates,Cookies,18.2
Fat,Cookies,5.6
Fiber,Cookies,0.56
Sugar,Cookies,8.4
Vitamin A,Cookies,0
Vitamin C,Cookies,0
Calcium,Cookies,0.0084
Iron,Cookies,0.0006
Protein,Cake,3.2
Carbohydrates,Cake,32
Fat,Cake,14.4
Fiber,Cake,0.8
Sugar,Cake,22.4
Vitamin A,Cake,0
Vitamin C,Cake,0
Calcium,Cake,0.032
Iron,Cake,0.0012
Protein,Donut,2.08
Carbohydrates,Donut,26
Fat,Donut,13
Fiber,Donut,0.52
Sugar,Donut,10.4
Vitamin A,Donut,0
Vitamin C,Donut,0
Calcium,Donut,0.0104
Iron,Donut,0.0005
Protein,Pizza,12.84
Carbohydrates,Pizza,35.31
Fat,Pizza,10.7
Fiber,Pizza,2.675
Sugar,Pizza,3.745
Vitamin A,Pizza,0
Vitamin C,Pizza,0.0011
Calcium,Pizza,0.321
Iron,Pizza,0.0025
Protein,Hamburger,13.2
Carbohydrates,Hamburger,28.6
Fat,Hamburger,15.4
Fiber,Hamburger,1.65
Sugar,Hamburger,5.5
Vitamin A,Hamburger,0
Vitamin C,Hamburger,0.0011
Calcium,Hamburger,0.165
Iron,Hamburger,0.0027
Protein,Hot Dog,9.8
Carbohydrates,Hot Dog,14.7
Fat,Hot Dog,19.6
Fiber,Hot Dog,0.49
Sugar,Hot Dog,1.96
Vitamin A,Hot Dog,0
Vitamin C,Hot Dog,0
Calcium,Hot Dog,0.0392
Iron,Hot Dog,0.0012
Protein,Chicken Nuggets,9.6
Carbohydrates,Chicken Nuggets,12.8
Fat,Chicken Nuggets,12.8
Fiber,Chicken Nuggets,0.64
Sugar,Chicken Nuggets,0.64
Vitamin A,Chicken Nuggets,0
Vitamin C,Chicken Nuggets,0.0003
Calcium,Chicken Nuggets,0.0512
Iron,Chicken Nuggets,0.001
Protein,French Fries,3.978
Carbohydrates,French Fries,40.95
Fat,French Fries,19.89
Fiber,French Fries,4.446
Sugar,French Fries,0.351
Vitamin A,French Fries,0
Vitamin C,French Fries,0.0105
Calcium,French Fries,0.0211
Iron,French Fries,0.0009
